loss,f1,overall_accuracy,average_accuracy,kappa
"tensor(0.0300, device='cuda:0')","tensor(0.2058, device='cuda:0')","tensor(0.5514, device='cuda:0')","tensor(0.2500, device='cuda:0')","tensor(0.0362, device='cuda:0')"
"tensor(0.0042, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.8609e-07, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.9286e-09, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.8815e-10, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.6573e-10, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.0849e-11, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.3710e-11, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(9.9693e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.6402e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.8405e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.0187e-12, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(6.6712e-13, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.0971e-13, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.4495e-13, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.1223e-13, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.2362e-14, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.2996e-14, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.0887e-14, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.9901e-14, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(8.9589e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(7.6349e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(5.3182e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(4.6921e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(3.1986e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.5763e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(2.6182e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.8459e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.4876e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.7124e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
"tensor(1.5140e-15, device='cuda:0')","tensor(0.8359, device='cuda:0')","tensor(0.5000, device='cuda:0')","tensor(0.8884, device='cuda:0')","tensor(0., device='cuda:0')"
