timestamp,model_category,run_desc,params,trainer_state,loss
2025-08-12T09:22:58.260734+00:00,dbda,Default run,"{""num_epochs"": 40, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.5, ""mask_mode"": ""both"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""<function <lambda> at 0x7f58b482afc0>""}",,1.105212076094375
2025-08-12T09:53:39.716280+00:00,dbda,Fill with 0 ( indian_pines_mae_encoder_1754991235 ),"{""num_epochs"": 40, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.5, ""mask_mode"": ""both"", ""fil_value"": 0.0, ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""<function <lambda> at 0x7fa2440911c0>""}",,1.100103129913017
2025-08-12T11:09:03.655035+00:00,dbda,Default run ( indian_pines_mae_encoder_1754996290 ),"{""num_epochs"": 40, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.5, ""mask_mode"": ""both"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_1754996290"", ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""<function <lambda> at 0x7f37ed306b60>""}",,1.0848247117184577
2025-08-12T11:43:05.759009+00:00,dbda,No scheduler ( indian_pines_mae_encoder_1754998369 ),"{""num_epochs"": 40, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.5, ""mask_mode"": ""both"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_1754998369"", ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""None""}",,1.1269740741303627
2025-08-20T20:41:57.448524+00:00,dbda,MAE transformer run,"{""num_epochs"": 40, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.5, ""mask_mode"": ""both"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_mae_transformer_run"", ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""<function <lambda> at 0x7febd1fe7380>""}",,nan
2025-08-20T20:55:03.655898+00:00,dbda,Copy masking from MAE PU,"{""num_epochs"": 40, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.75, ""mask_mode"": ""spatial"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_copy_masking_from_mae_pu"", ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""<function <lambda> at 0x7fc8e4e14ae0>""}",,1.1007575869197903
2025-08-20T21:07:49.412341+00:00,dbda,Copy masking from MAE PU + Remove scheduler,"{""num_epochs"": 40, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.75, ""mask_mode"": ""spatial"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_copy_masking_from_mae_pu_+_remove_scheduler"", ""decoder_layers"": 8, ""decoder_embed_dim"": 256, ""decoder_heads"": 16, ""decoder_mlp_dim"": 512, ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""None""}",,1.1297419525932033
2025-08-20T21:24:44.715560+00:00,dbda,Copy masking from MAE PU + Remove scheduler + More epochs,"{""num_epochs"": 60, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.75, ""mask_mode"": ""spatial"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_copy_masking_from_mae_pu_+_remove_scheduler_+_more_epochs"", ""decoder_layers"": 8, ""decoder_embed_dim"": 256, ""decoder_heads"": 16, ""decoder_mlp_dim"": 512, ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""None""}",,1.1221460995340782
2025-08-20T21:41:08.331998+00:00,dbda,Copy masking from MAE PU + Remove scheduler + More epochs + Flips,"{""num_epochs"": 60, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.75, ""mask_mode"": ""spatial"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_copy_masking_from_mae_pu_+_remove_scheduler_+_more_epochs_+_flips"", ""decoder_layers"": 8, ""decoder_embed_dim"": 256, ""decoder_heads"": 16, ""decoder_mlp_dim"": 512, ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""None""}",,1.1222321883885693
2025-08-20T21:58:34.032444+00:00,dbda,Copy masking from MAE PU + More epochs + Flips,"{""num_epochs"": 60, ""batch_size"": 64, ""patch_size"": 9, ""target_dim"": 75, ""loss_alpha"": 1, ""loss_beta"": 0.1, ""mask_ratio"": 0.75, ""mask_mode"": ""spatial"", ""fil_value"": ""noise"", ""embedding_size"": 256, ""pre_process_type"": ""PreProcessType.STANDARTIZATION"", ""dim_reduction_type"": ""DimReductionType.PCA"", ""saved_model_name"": ""indian_pines_mae_encoder_copy_masking_from_mae_pu_+_more_epochs_+_flips"", ""decoder_layers"": 8, ""decoder_embed_dim"": 256, ""decoder_heads"": 16, ""decoder_mlp_dim"": 512, ""learning_rate"": 0.001, ""weight_decay"": 0, ""scheduler"": ""<function <lambda> at 0x7f8da611ca40>""}",,1.1049834680049977
